City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches,Snow inches
0,Busselton,AU,2020-05-10 20:08:31,-33.65,115.33,48.0,72,85,2.13,overcast clouds,0,0
1,Saint-Augustin,CA,2020-05-10 20:09:33,51.23,-58.65,34.18,91,100,12.17,overcast clouds,0,0
2,Manado,ID,2020-05-10 20:08:38,1.49,124.85,77.0,94,40,2.24,scattered clouds,0,0
3,Longkou,CN,2020-05-10 20:09:33,37.65,120.33,58.26,58,22,5.5,few clouds,0,0
4,Hasaki,JP,2020-05-10 20:09:33,35.73,140.83,69.8,94,75,3.36,broken clouds,0,0
5,Atuona,PF,2020-05-10 20:05:14,-9.8,-139.03,81.18,79,12,16.71,light rain,0,0
6,Georgetown,MY,2020-05-10 20:07:11,5.41,100.34,78.8,94,40,4.7,scattered clouds,0,0
7,San Carlos De Bariloche,AR,2020-05-10 20:09:33,-41.15,-71.31,44.6,75,40,21.92,scattered clouds,0,0
8,Floro,NO,2020-05-10 20:09:33,61.6,5.03,33.8,71,75,9.17,shower rain,0,0
9,Asosa,ET,2020-05-10 20:09:34,10.07,34.53,70.29,67,2,1.3,clear sky,0,0
10,Iqaluit,CA,2020-05-10 20:08:36,63.75,-68.51,28.4,63,75,17.22,broken clouds,0,0
11,Puerto Ayora,EC,2020-05-10 20:08:30,-0.74,-90.35,86.0,66,20,14.99,few clouds,0,0
12,Ostrovnoy,RU,2020-05-10 20:06:08,68.05,39.51,31.55,94,100,10.29,overcast clouds,0,0
13,Magadan,RU,2020-05-10 20:09:34,59.57,150.8,35.85,82,96,5.37,overcast clouds,0,0
14,Victoria,HK,2020-05-10 20:07:31,22.29,114.16,81.0,78,73,4.0,broken clouds,0,0
15,Beloha,MG,2020-05-10 20:09:34,-25.17,45.05,65.39,80,0,13.27,clear sky,0,0
16,Hobart,AU,2020-05-10 20:06:09,-42.88,147.33,50.0,71,51,12.75,broken clouds,0,0
17,Saskylakh,RU,2020-05-10 20:09:34,71.92,114.08,13.17,95,41,7.0,scattered clouds,0,0
18,Padang,ID,2020-05-10 20:06:10,-0.95,100.35,78.53,79,100,3.04,overcast clouds,0,0
19,Novobiryusinskiy,RU,2020-05-10 20:09:35,56.96,97.71,47.73,55,100,4.29,overcast clouds,0,0
20,New Norfolk,AU,2020-05-10 20:07:31,-42.78,147.06,46.99,86,93,1.01,overcast clouds,0,0
21,Jamestown,US,2020-05-10 20:09:35,42.1,-79.24,54.0,65,75,16.11,broken clouds,0,0
22,Butaritari,KI,2020-05-10 20:08:34,3.07,172.79,83.16,77,17,8.52,few clouds,0,0
23,Rapsani,GR,2020-05-10 20:09:35,39.9,22.55,62.6,77,40,5.82,scattered clouds,0,0
24,Bluff,NZ,2020-05-10 20:09:35,-46.6,168.33,51.26,77,100,10.38,overcast clouds,0,0
25,Olafsvik,IS,2020-05-10 20:09:35,64.89,-23.71,41.86,74,18,14.79,few clouds,0,0
26,Eydhafushi,MV,2020-05-10 20:09:35,5.1,73.07,85.01,77,99,9.91,moderate rain,0,0
27,Leningradskiy,RU,2020-05-10 20:09:36,69.38,178.42,35.58,92,100,17.38,overcast clouds,0,0
28,Nelidovo,RU,2020-05-10 20:09:36,56.22,32.78,44.2,63,0,3.47,clear sky,0,0
29,Hermanus,ZA,2020-05-10 20:08:32,-34.42,19.23,59.0,80,0,3.13,clear sky,0,0
30,Qaanaaq,GL,2020-05-10 20:04:51,77.48,-69.36,13.12,83,0,1.68,clear sky,0,0
31,Nikolskoye,RU,2020-05-10 20:04:46,59.7,30.79,46.99,45,17,6.71,few clouds,0,0
32,Lagoa,PT,2020-05-10 20:06:56,39.05,-27.98,58.15,73,83,28.77,broken clouds,0,0
33,Vaini,TO,2020-05-10 20:04:48,-21.2,-175.2,73.4,88,40,6.93,scattered clouds,0,0
34,Kapaa,US,2020-05-10 20:09:36,22.08,-159.32,75.99,69,90,12.75,overcast clouds,0,0
35,Touros,BR,2020-05-10 20:09:36,-5.2,-35.46,84.2,74,40,10.29,scattered clouds,0,0
36,Hithadhoo,MV,2020-05-10 20:09:36,-0.6,73.08,84.94,77,96,12.48,moderate rain,0,0
37,Mayo,US,2020-05-10 20:09:37,38.89,-76.51,64.99,38,1,10.29,light rain,0,0
38,Mahebourg,MU,2020-05-10 20:08:31,-20.41,57.7,73.4,64,40,10.29,scattered clouds,0,0
39,Cape Coast,GH,2020-05-10 20:09:37,5.11,-1.25,79.97,87,100,5.79,moderate rain,0,0
40,Nelson Bay,AU,2020-05-10 20:04:47,-32.72,152.15,46.99,75,40,8.05,scattered clouds,0,0
41,Castro,BR,2020-05-10 20:09:37,-24.79,-50.01,66.2,69,0,4.59,clear sky,0,0
42,Tuktoyaktuk,CA,2020-05-10 20:05:21,69.45,-133.04,35.6,80,75,11.41,broken clouds,0,0
43,Araouane,ML,2020-05-10 20:09:37,18.9,-3.53,92.16,10,0,3.94,clear sky,0,0
44,Guasdualito,VE,2020-05-10 20:09:37,7.24,-70.73,96.8,41,40,4.7,scattered clouds,0,0
45,Salmon Arm,CA,2020-05-10 20:09:38,50.7,-119.3,61.0,44,0,2.93,clear sky,0,0
46,Cape Town,ZA,2020-05-10 20:06:45,-33.93,18.42,57.99,100,75,4.7,fog,0,0
