City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lepaterique,HN,2020-05-07 23:39:45,14.07,-87.47,84.2,42,40,9.17
1,Dosso,NE,2020-05-07 23:39:45,13.05,3.19,90.14,16,66,4.94
2,Bluff,NZ,2020-05-07 23:39:45,-46.6,168.33,50.92,72,93,8.3
3,Lagos,NG,2020-05-07 23:36:18,6.58,3.75,82.4,83,20,4.16
4,Shibetsu,JP,2020-05-07 23:39:45,43.66,145.13,53.17,51,0,4.03
5,Chokurdakh,RU,2020-05-07 23:39:45,70.63,147.92,27.21,97,76,8.63
6,Sitka,US,2020-05-07 23:39:46,57.05,-135.33,57.2,46,40,10.29
7,Ushuaia,AR,2020-05-07 23:39:12,-54.8,-68.3,48.2,70,90,17.22
8,Hermanus,ZA,2020-05-07 23:39:46,-34.42,19.23,55.99,95,86,1.99
9,Mercedes,AR,2020-05-07 23:37:32,-34.65,-59.43,55.0,86,33,5.66
10,Albany,US,2020-05-07 23:35:30,42.6,-73.97,60.8,25,75,18.34
11,Atuona,PF,2020-05-07 23:39:46,-9.8,-139.03,80.65,76,80,20.45
12,Sorland,NO,2020-05-07 23:39:46,67.67,12.69,34.92,82,100,6.22
13,Kushima,JP,2020-05-07 23:39:46,31.46,131.23,68.0,64,20,13.87
14,Rikitea,PF,2020-05-07 23:39:46,-23.12,-134.97,75.13,74,11,13.42
15,Saskylakh,RU,2020-05-07 23:39:47,71.92,114.08,4.24,93,94,6.69
16,Sao Joao Do Piaui,BR,2020-05-07 23:38:18,-8.36,-42.25,76.8,71,99,3.36
17,Hilo,US,2020-05-07 23:39:47,19.73,-155.09,80.6,57,40,11.41
18,Shache,CN,2020-05-07 23:39:47,38.42,77.24,54.52,61,56,10.6
19,Arraial Do Cabo,BR,2020-05-07 23:39:47,-22.97,-42.03,64.4,75,75,3.36
20,Kodiak,US,2020-05-07 23:39:47,57.79,-152.41,44.6,87,90,28.86
21,Taozhuang,CN,2020-05-07 23:39:47,34.85,117.33,62.67,95,100,8.16
22,Urucara,BR,2020-05-07 23:39:47,-2.54,-57.76,76.15,96,99,3.4
